"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",43753.1483422437,4375314.83422437,0.87123393459523,43753.1483422437,0.818319920290594,4375314.83422437,0.87123393459523,43753.1483422437,0.818319920290594,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","competitors",-3234.05699654292,-324729.804043873,-0.0646617753411647,0,0,-324729.804043873,-0.0646617753411647,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",1822.78283474435,-2.75733069911271,-5.49053077318502e-07,-0.0278518252435629,-5.20915734679933e-07,-2.75733069911271,-5.49053077318502e-07,-0.0278518252435629,-5.20915734679933e-07,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","trend",2946.22215928871,441933.323893306,0.0879999093076849,4419.33323893306,0.0826552730681922,441933.323893306,0.0879999093076849,4419.33323893306,0.0826552730681922,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","tv",891.359368548101,61349.0803393552,0.0122161267641282,613.490803393552,0.0114741856152855,61349.0803393552,0.0122161267641282,613.490803393552,0.0114741856152855,TRUE,0.458538882371808,0.458538882371808,46446.328651486,4644632.8651486,NA,NA,0.115871221013501,0.115871221013501,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,613.490803393552,52223.0554516063,5776.72680012032,0.0132085962702657,0.0132085962702657,75.7082720630302,75.7082720630302,4,FALSE,0.013277257972778,0.00476704806588681,0,0.0605151866945884,0.0966173981912417
"6","paid_search",2340.68746264761,160593.90805776,0.0319782387531869,1605.9390805776,0.0300360543229978,160593.90805776,0.0319782387531869,1605.9390805776,0.0300360543229978,TRUE,0.297445999778094,0.297445999778094,30128.9055146277,3012890.55146277,NA,NA,0.303316889365748,0.303316889365748,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,1605.9390805776,52031.6159346029,21902.7104199752,0.0533022707976536,0.0533022707976536,18.7609267867068,18.7609267867068,4,FALSE,0.133923584831066,0.0164877332129478,0,0.298121680466299,0.507158093152088
"7","social",0,0,0,0,0,0,0,0,0,TRUE,0.162751814066573,0.162751814066573,16485.459653195,1648545.9653195,NA,NA,0,0,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,0,31290.5843577169,14805.124704522,0,0,Inf,Inf,4,FALSE,0,0,0,0,NA
"8","display",4421.18936954678,307516.18017596,0.0612341149740124,3075.1618017596,0.057515087618665,307516.18017596,0.0612341149740124,3075.1618017596,0.057515087618665,TRUE,0.0812633037835251,0.0812633037835251,8231.32401621435,823132.401621435,NA,NA,0.580811889620751,0.580811889620751,1,0.024161455942432,NA,NA,0.200775696726399,NA,NA,0.200775696726399,0.784112292738633,0,125.543956525342,0.001445048058,81263.2971590817,1e-04,"1_232_1",1,232,1,232,6,3075.1618017596,9763.22838054409,1531.90436432974,0.37359260742282,0.37359260742282,2.67671249412125,2.67671249412125,4,FALSE,0.658697401025889,0.107624153991352,0,1.73529762260276,0.197521970200777
"9","(Intercept)",41983.2584523826,4198325.84523826,0.835991027719538,41983.2584523826,0.785844707274867,4198325.84523826,0.835991027719538,41983.2584523826,0.785844707274867,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0337766581475366,NA,NA,0.19978409932548,NA,NA,0.19978409932548,0.79952959543055,0,146.867031410299,0.001707469202,81263.2971590817,1e-04,"1_234_1",1,234,1,234,1,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"10","competitors",-3191.55564426379,-320462.267691869,-0.063812002781279,0,0,-320462.267691869,-0.063812002781279,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0337766581475366,NA,NA,0.19978409932548,NA,NA,0.19978409932548,0.79952959543055,0,146.867031410299,0.001707469202,81263.2971590817,1e-04,"1_234_1",1,234,1,234,1,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
