"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","display",1,26,0.166415049189711,0.0197375384653568,"[0, 0.37]",0,0.373163785207741,0.0986876923267838,0.005763021917791
"2","display",2,24,0.222847348692917,0.0338030734868356,"[0, 0.57]",0,0.565510115981625,0.162113845413022,0.00898725057381484
"3","display",3,37,0.11716472045816,0.00898151402797058,"[0.01, 0.23]",0.00659233408612599,0.228191688418101,0.0538890841678235,0.00332704568351134
"4","display",4,23,0.658697401025889,0.107624153991352,"[0, 1.74]",0,1.73529762260276,0.504802028018703,0.0277262795822239
"5","paid_search",1,26,0.0451868104709462,0.000917106508762594,"[0.04, 0.05]",0.0355764274015731,0.0548386488444613,0.00458553254381297,0.000287204914449638
"6","paid_search",2,24,0.0503426058359058,0.00170735272801891,"[0.03, 0.07]",0.03304911803773,0.0676548057722503,0.00818817603444708,0.000514970099024389
"7","paid_search",3,37,0.050863949674026,0.0030520423666056,"[0.01, 0.09]",0.0133192347870684,0.0886217523500738,0.0183122541996336,0.00113057601982093
"8","paid_search",4,23,0.133923584831066,0.0164877332129478,"[0, 0.3]",0,0.298121680466299,0.0773343237057745,0.00457363967553382
"9","social",1,26,0,0,"[0, 0]",0,0,0,0
"10","social",2,24,0,0,"[0, 0]",0,0,0,0
"11","social",3,37,0,0,"[0, 0]",0,0,0,0
"12","social",4,23,0,0,"[0, 0]",0,0,0,0
"13","tv",1,26,0.00901450662908069,0.00117474150862495,"[0, 0.02]",0,0.0213357910149647,0.00587370754312473,0.000334173799002163
"14","tv",2,24,0.0299280646716883,0.0145101661480368,"[0, 0.18]",0,0.177834679326039,0.06958831222126,0.0032021343815006
"15","tv",3,37,0.03559881205344,0.0048137479411895,"[0, 0.09]",0,0.0949683114842912,0.028882487647137,0.00154276047251076
"16","tv",4,23,0.013277257972778,0.00476704806588681,"[0, 0.06]",0,0.0605151866945884,0.0223594373760713,0.00106297031764375
