"","ds","tv","paid_search","social","display","type","solID","cluster","top_sol"
"1",2020-01-05,73107.0612231269,29350.7256638259,5567.50028161332,3774.56770674326,"adstockedMedia","1_234_1",4,FALSE
"2",2020-01-12,60193.5432705959,39905.9531345947,21374.5904803238,4365.95138032487,"adstockedMedia","1_234_1",4,FALSE
"3",2020-01-19,78663.5155768577,28898.3801016911,34372.6520094783,8827.3623607222,"adstockedMedia","1_234_1",4,FALSE
"4",2020-01-26,56431.3787451526,35036.5738058642,37346.7943416743,12692.321001102,"adstockedMedia","1_234_1",4,FALSE
"5",2020-02-02,36548.7254372527,59608.8453554671,50752.1343169888,3712.14793688154,"adstockedMedia","1_234_1",4,FALSE
"6",2020-02-09,51122.315778795,71845.3341038968,40002.3925917363,13676.6164868393,"adstockedMedia","1_234_1",4,FALSE
"7",2020-02-16,84474.2370913001,55362.4980695395,54967.6881314413,9708.50418826385,"adstockedMedia","1_234_1",4,FALSE
"8",2020-02-23,59667.4836364004,39221.0769096079,46609.9970179134,4067.94031358278,"adstockedMedia","1_234_1",4,FALSE
"9",2020-03-01,42629.2003302637,38997.9758098405,36773.2665176214,13804.5638021161,"adstockedMedia","1_234_1",4,FALSE
"10",2020-03-08,40926.6658034318,38386.5457721479,38053.1261215122,5520.09039550674,"adstockedMedia","1_234_1",4,FALSE
"11",2020-03-15,57652.7429778225,30167.8229878794,32342.447380227,4050.16307842587,"adstockedMedia","1_234_1",4,FALSE
"12",2020-03-22,66221.6162880203,61634.0421632515,40124.1747404942,12058.9039753868,"adstockedMedia","1_234_1",4,FALSE
"13",2020-03-29,48488.6632980911,55333.7732993185,36541.9728199317,5193.44305832723,"adstockedMedia","1_234_1",4,FALSE
"14",2020-04-05,29736.9686712612,36578.3281688713,46305.4301435825,6057.11817495362,"adstockedMedia","1_234_1",4,FALSE
"15",2020-04-12,50807.3636290014,33579.4438020677,38120.6949960474,8842.78790713911,"adstockedMedia","1_234_1",4,FALSE
"16",2020-04-19,76696.0272763239,61089.852974347,33084.0271927657,6497.80465306316,"adstockedMedia","1_234_1",4,FALSE
"17",2020-04-26,64095.1397401892,47106.7177935832,32537.8866338038,4116.41366670046,"adstockedMedia","1_234_1",4,FALSE
"18",2020-05-03,49237.8995308395,55585.9266738045,45156.8688657811,5531.70418011854,"adstockedMedia","1_234_1",4,FALSE
"19",2020-05-10,59019.4951711507,69002.3111119487,44403.0989999616,6652.39868255735,"adstockedMedia","1_234_1",4,FALSE
"20",2020-05-17,80963.5584477396,78132.8949387406,34762.8905075388,9631.30557061105,"adstockedMedia","1_234_1",4,FALSE
"21",2020-05-24,59551.4388044016,59485.7345373853,29996.6961373741,12673.0303892146,"adstockedMedia","1_234_1",4,FALSE
"22",2020-05-31,37765.0699153441,50321.3652292025,36161.2180048271,14344.6329855048,"adstockedMedia","1_234_1",4,FALSE
"23",2020-06-07,57317.2142829995,36461.346756222,52495.2297212539,13080.321261102,"adstockedMedia","1_234_1",4,FALSE
"24",2020-06-14,84875.0559080102,36252.446735265,58700.0807101733,3869.97212080588,"adstockedMedia","1_234_1",4,FALSE
"25",2020-06-21,49463.4957849875,47566.7826642685,55934.2446937127,10507.676263286,"adstockedMedia","1_234_1",4,FALSE
"26",2020-06-28,75433.0908329199,67052.8044550809,42410.2022800156,11150.4471338253,"adstockedMedia","1_234_1",4,FALSE
"27",2020-07-05,47881.8043564643,52031.8349329135,43655.3744566486,2603.21688582898,"adstockedMedia","1_234_1",4,FALSE
"28",2020-07-12,37131.1048409747,65171.7792226812,41283.41157395,14009.9311218187,"adstockedMedia","1_234_1",4,FALSE
"29",2020-07-19,27556.6684919061,65815.2495383847,48524.0287441476,8454.59122555868,"adstockedMedia","1_234_1",4,FALSE
"30",2020-07-26,38195.7740444215,67214.102766546,48738.5055506535,5606.27893866029,"adstockedMedia","1_234_1",4,FALSE
"31",2020-08-02,45855.7758762549,74721.9906864758,48894.1568258223,13228.4761945642,"adstockedMedia","1_234_1",4,FALSE
"32",2020-08-09,35291.189567071,40958.6728311573,49758.0092013922,5200.32005369265,"adstockedMedia","1_234_1",4,FALSE
"33",2020-08-16,42671.0350824923,33334.9737636838,47856.4083170129,12382.3513697206,"adstockedMedia","1_234_1",4,FALSE
"34",2020-08-23,26403.4121299277,39739.7640368719,37556.765244103,10615.3267427114,"adstockedMedia","1_234_1",4,FALSE
"35",2020-08-30,83103.8793745329,53427.0960123513,52157.4702504663,7694.0283984361,"adstockedMedia","1_234_1",4,FALSE
"36",2020-09-06,78683.9777465115,51282.6783247272,38608.3885630501,3364.66874035046,"adstockedMedia","1_234_1",4,FALSE
"37",2020-09-13,35061.0045017222,52535.2077859908,39925.7750963177,2101.39736819304,"adstockedMedia","1_234_1",4,FALSE
"38",2020-09-20,76592.288596305,44377.4139441989,36086.357556291,8939.91050571662,"adstockedMedia","1_234_1",4,FALSE
"39",2020-09-27,62879.0437101718,60920.1748752432,30459.2576328007,8965.62711278961,"adstockedMedia","1_234_1",4,FALSE
"40",2020-10-04,53167.0961555989,46851.5576733615,36459.8035648691,4921.47725539726,"adstockedMedia","1_234_1",4,FALSE
"41",2020-10-11,30724.8208095605,45717.0877473553,44459.1506308179,11402.4918362972,"adstockedMedia","1_234_1",4,FALSE
"42",2020-10-18,57538.8565916433,32519.9492105132,56330.6023021601,14688.3193372982,"adstockedMedia","1_234_1",4,FALSE
"43",2020-10-25,31458.0994961242,55376.0696465814,49918.3439522203,8983.31622843159,"adstockedMedia","1_234_1",4,FALSE
"44",2020-11-01,36628.041200649,47264.221576462,58150.3996706844,4419.22541263349,"adstockedMedia","1_234_1",4,FALSE
"45",2020-11-08,57570.0076439824,31141.755947364,49534.2170957322,9386.98994937434,"adstockedMedia","1_234_1",4,FALSE
"46",2020-11-15,56137.5787660338,24506.4018114041,48169.0965064996,12027.4739463806,"adstockedMedia","1_234_1",4,FALSE
"47",2020-11-22,36607.2711638613,58299.6175552962,39226.9306204629,10871.9410719572,"adstockedMedia","1_234_1",4,FALSE
"48",2020-11-29,33564.9181902066,49014.0183831572,50160.1295677486,5105.32058583142,"adstockedMedia","1_234_1",4,FALSE
"49",2020-12-06,54165.0712713363,62501.7844936065,53571.1074097652,6581.49884457509,"adstockedMedia","1_234_1",4,FALSE
"50",2020-12-13,83225.640249488,72218.413210462,40645.4601091026,6267.97281639518,"adstockedMedia","1_234_1",4,FALSE
"51",2020-12-20,50489.5261542262,57432.5067833349,41643.159509232,13868.5913648196,"adstockedMedia","1_234_1",4,FALSE
"52",2020-12-27,37636.9314665341,56775.6728949407,41426.4129981349,4821.70891617651,"adstockedMedia","1_234_1",4,FALSE
"53",2021-01-03,40902.2580854788,36397.6225925165,48790.9999394859,10933.2241075857,"adstockedMedia","1_234_1",4,FALSE
"54",2021-01-10,56973.3707321704,31618.9537072064,52537.4843267818,3970.72919068491,"adstockedMedia","1_234_1",4,FALSE
"55",2021-01-17,28430.8933913451,52655.683425871,48622.8229876739,3457.39227670812,"adstockedMedia","1_234_1",4,FALSE
"56",2021-01-24,71490.5625445244,50777.6100287882,43620.4573134429,3265.04135193906,"adstockedMedia","1_234_1",4,FALSE
"57",2021-01-31,35584.2935006062,58394.2787257256,39141.2299906982,13968.4860892901,"adstockedMedia","1_234_1",4,FALSE
"58",2021-02-07,56849.804667926,72180.0656283016,46726.8118286197,5835.58766062497,"adstockedMedia","1_234_1",4,FALSE
"59",2021-02-14,61402.4196037942,59712.1984921555,57100.5145613636,13612.995416041,"adstockedMedia","1_234_1",4,FALSE
"60",2021-02-21,64836.3300589276,53483.8532191627,62486.7363939853,12275.0922999286,"adstockedMedia","1_234_1",4,FALSE
"61",2021-02-28,71021.0362035804,54498.9189579546,54594.1010986924,12541.1243457079,"adstockedMedia","1_234_1",4,FALSE
"62",2021-03-07,36303.3483937651,58610.913658068,41724.3140801784,4883.6677820165,"adstockedMedia","1_234_1",4,FALSE
"63",2021-03-14,43215.0467954312,45391.8878534853,52267.2656439782,2708.25514681292,"adstockedMedia","1_234_1",4,FALSE
"64",2021-03-21,82163.0759217665,67945.1982769341,40089.3620951551,2549.93739036798,"adstockedMedia","1_234_1",4,FALSE
"65",2021-03-28,60303.9173715921,63818.9923032932,33385.1420058552,5742.14407906085,"adstockedMedia","1_234_1",4,FALSE
"66",2021-04-04,35675.3262090867,59663.2564509501,42248.5801707829,6630.63879153455,"adstockedMedia","1_234_1",4,FALSE
"67",2021-04-11,76628.7913247356,59278.4539250515,39904.5290776342,11697.875663664,"adstockedMedia","1_234_1",4,FALSE
"68",2021-04-18,41911.4457034612,71490.2838868321,35117.1707112236,5467.42348384825,"adstockedMedia","1_234_1",4,FALSE
"69",2021-04-25,80758.0213396295,55129.6238660834,37197.1159864139,8818.19378585303,"adstockedMedia","1_234_1",4,FALSE
"70",2021-05-02,83331.4482058344,44287.8057790279,50225.868815926,12020.3787279356,"adstockedMedia","1_234_1",4,FALSE
"71",2021-05-09,38626.6633121491,31922.2976470753,45665.5434915477,10470.293789006,"adstockedMedia","1_234_1",4,FALSE
"72",2021-05-16,71964.3561971948,36066.7032654524,34101.0501682559,4826.4787941739,"adstockedMedia","1_234_1",4,FALSE
"73",2021-05-23,56221.8012302275,55227.9778427655,49486.7459503587,14990.3733964893,"adstockedMedia","1_234_1",4,FALSE
"74",2021-05-30,35194.1856927986,36988.1601868349,60290.4076689294,2256.17172325743,"adstockedMedia","1_234_1",4,FALSE
"75",2021-06-06,77526.2541893594,53688.8906666429,55646.6100601347,4723.17372025108,"adstockedMedia","1_234_1",4,FALSE
"76",2021-06-13,49923.8140769046,70835.0260037664,52009.2443112856,10321.4208059284,"adstockedMedia","1_234_1",4,FALSE
"77",2021-06-20,45416.3840747824,47317.7060758542,53014.6422390903,2397.55180369518,"adstockedMedia","1_234_1",4,FALSE
"78",2021-06-27,49921.7202947943,33883.8905649479,61394.0306207642,2387.69091586707,"adstockedMedia","1_234_1",4,FALSE
"79",2021-07-04,55004.3130497614,26211.6605052336,48401.0988381364,9941.8924747255,"adstockedMedia","1_234_1",4,FALSE
"80",2021-07-11,48971.0891402827,54015.5372901612,55453.3557467113,9583.44318418565,"adstockedMedia","1_234_1",4,FALSE
"81",2021-07-18,54081.9092323715,55558.7606934456,46118.3085484628,5356.49946243009,"adstockedMedia","1_234_1",4,FALSE
"82",2021-07-25,29774.8490683011,51751.9662337873,48779.583811944,14043.4822428871,"adstockedMedia","1_234_1",4,FALSE
"83",2021-08-01,34974.8651275229,45976.4584050405,57069.1527577723,10973.8678882752,"adstockedMedia","1_234_1",4,FALSE
"84",2021-08-08,83345.0562388407,40195.3337625391,44628.4657508257,10574.5343275043,"adstockedMedia","1_234_1",4,FALSE
"85",2021-08-15,50147.0642813408,50591.1179390875,55802.4032605121,4884.70555420187,"adstockedMedia","1_234_1",4,FALSE
"86",2021-08-22,36547.7138960867,63639.1954770109,51770.5442054744,8329.78988335297,"adstockedMedia","1_234_1",4,FALSE
"87",2021-08-29,53878.0042820544,40199.146048255,60304.4766843599,14964.1640993611,"adstockedMedia","1_234_1",4,FALSE
"88",2021-09-05,27876.9969940177,65151.6394290312,49596.2196446739,15161.0254935177,"adstockedMedia","1_234_1",4,FALSE
"89",2021-09-12,43864.5961580653,43660.0200574784,38659.3815977188,8113.82497902486,"adstockedMedia","1_234_1",4,FALSE
"90",2021-09-19,27279.9755653082,31476.8915077855,30821.9480220493,11428.8419551031,"adstockedMedia","1_234_1",4,FALSE
"91",2021-09-26,75454.3505205301,57449.8021302512,49112.9485229842,6306.59485315273,"adstockedMedia","1_234_1",4,FALSE
"92",2021-10-03,73363.6620605964,54720.9806127666,48363.6004074647,12943.496932596,"adstockedMedia","1_234_1",4,FALSE
