"","ds","revenue","tv","paid_search","social","display","competitors","season","trend"
"1",2020-01-05,53860.7028031362,73107.0612231269,29350.7256638259,5567.50028161332,3774.56770674326,0.998156590387225,0,1
"2",2020-01-12,46040.4685293852,51026.6633331776,27782.7811148018,17830.988195492,4302.77334852144,0.782764225266874,0.0633918095820675,1.01010101010101
"3",2020-01-19,53862.8885766267,71115.8590996638,12415.4235981405,20768.1537908502,8754.28585591726,1.27644508238882,0.126528621376598,1.02020202020202
"4",2020-01-26,45818.2712154618,46567.7760960534,23100.2408824861,15469.2906083073,12544.570205966,0.8038527618628,0.189156463341684,1.03030303030303
"5",2020-02-02,47954.3511902067,29472.8060252964,45137.1618919075,26981.6486292984,3499.70616283827,1.01555118197575,0.251023410800547,1.04040404040404
"6",2020-02-09,56180.1226129823,46539.4783299416,47224.1954505444,7699.67682543211,13614.4832258578,0.977950773201883,0.311880599825377,1.05050505050505
"7",2020-02-16,48811.9698633671,78064.0200339258,25687.1382799,29506.9674099796,9479.5874543488,1.26885222457349,0.371483228309096,1.06060606060606
"8",2020-02-23,54301.5670551237,49075.2757666633,16353.8709934801,11624.1657827049,3905.44112585485,0.663928855676204,0.429591540698188,1.07070707070707
"9",2020-03-01,48689.6571190451,35147.5063664839,22797.9040425271,7106.9380803965,13736.4753526635,0.941774149890989,0.485971792425423,1.08080808080808
"10",2020-03-08,42270.8343277066,35581.3988111913,22278.6248102784,14647.6793929469,5289.03210256249,1.02340766973794,0.540397190162987,1.09090909090909
"11",2020-03-15,45912.0231743738,52520.9564529359,14312.4501779675,8122.39567865618,3957.76880346239,0.976919188629836,0.592648804113792,1.1010101010101
"12",2020-03-22,44842.4447626788,58992.5502566621,49173.372136429,19538.855542196,11991.113078082,1.02464328776114,0.642516448671201,1.11111111111111
"13",2020-03-29,47759.5495918668,40185.1479383186,29876.1371243745,11003.7402028684,4991.60330393352,1.18522824719548,0.689799527904673,1.12121212121212
"14",2020-04-05,48429.9740823529,23656.9847771898,13722.9868769646,23047.1972154919,5970.19126405939,0.851792022120208,0.734307842470288,1.13131313131313
"15",2020-04-12,49391.4289049649,47078.6510128528,18470.9463268518,8648.21726689115,8741.40495830216,1.33963128528558,0.775862354700308,1.14141414141414
"16",2020-04-19,49074.8955199453,70325.3020066768,47220.0298495591,8820.96925750375,6349.79566792026,1.42191369156353,0.814295908794153,1.15151515151515
"17",2020-04-26,59647.0688236876,54478.2400596887,21873.8562706858,11480.5667556357,4007.65458727255,0.606309621362016,0.849453903213775,1.16161616161616
"18",2020-05-03,43285.2437052267,41201.0226445273,36128.7299543619,24447.1565017011,5462.80439244583,0.706528918119147,0.881194912578664,1.17171717171717
"19",2020-05-10,48185.3597406903,52845.5646941438,46042.8191162646,15661.6574921645,6559.8100181669,0.986642911797389,0.909391256558893,1.18181818181818
"20",2020-05-17,52047.9305753863,73563.1156293675,49631.8317297846,6501.20840407908,9519.9589242693,0.823822023812681,0.933929513477764,1.19191919191919
"21",2020-05-24,58330.5209975321,49399.434234947,27213.3288532495,7870.8134253975,12511.8233379908,0.971713925013319,0.954710976558085,1.2020202020202
"22",2020-05-31,50597.5274852522,30297.926790081,25751.0768901557,17068.9224335365,14132.5140942354,1.08608850208111,0.971652050976766,1.21212121212121
"23",2020-06-07,56377.425668337,52581.8596407771,15676.3558182865,29479.3395977467,12840.2233878151,0.723950012587011,0.984684590130583,1.22222222222222
"24",2020-06-14,42021.4631679725,77688.0617532879,21192.2678537667,25287.9196731374,3651.03606856428,1.2340297200717,0.993756169760439,1.23232323232323
"25",2020-06-21,57425.7761726747,38821.0293231532,32592.8889028728,18572.8204273619,10442.9013696499,0.650484099052846,0.998830298831445,1.24242424242424
"26",2020-06-28,46834.6868052728,69230.8728862554,47405.5802170187,6809.17717516422,10974.5715484023,1.19755336688831,0.999886566320547,1.25252525252525
"27",2020-07-05,48784.3612493457,38423.2640266418,24336.0058031976,16662.1311521158,2416.58271779306,0.764107904862612,0.996920723321231,1.26262626262626
"28",2020-07-12,44659.6991330991,31127.2148694843,43680.2872363478,13497.6411482785,13966.3589482661,0.926464922260493,0.989944700135028,1.27272727272727
